sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
3|2|PVEM|ALFREDO PORRAS DOMINGUEZ|JESUS ANDRES ACOSTA MOYRON
3|2|PT|ALFREDO PORRAS DOMINGUEZ|JESUS ANDRES ACOSTA MOYRON
3|2|MOVIMIENTO CIUDADANO|NORMA IGNACIA RIVERA GONZALEZ|SASHA DENISSE ANGULO MARTINEZ
3|2|MORENA|ALFREDO PORRAS DOMINGUEZ|JESUS ANDRES ACOSTA MOYRON
3|2|PES|LORENIA LINETH MONTAÑO RUIZ|ESTHER GUERRERO RIOS
3|2|RSP|SUHEIDI YADIRA DIAZ PANTALEON|LIDIA YAZMIN OREGON VILLANUEVA
3|2|FS X MÉXICO|GUADALUPE MUNGUIA AVILES|MARIA ELENA GONZALEZ ROMERO
3|2|PAN_PRI_PRD|SUSANA DEL CARMEN ZATARAIN GARCIA|FRANCIS ALEJANDRA DORING MENDOZA
3|2|PAN_PRI|SUSANA DEL CARMEN ZATARAIN GARCIA|FRANCIS ALEJANDRA DORING MENDOZA
3|2|PAN_PRD|SUSANA DEL CARMEN ZATARAIN GARCIA|FRANCIS ALEJANDRA DORING MENDOZA
3|2|PRI_PRD|SUSANA DEL CARMEN ZATARAIN GARCIA|FRANCIS ALEJANDRA DORING MENDOZA
3|2|PVEM_PT_MORENA|ALFREDO PORRAS DOMINGUEZ|JESUS ANDRES ACOSTA MOYRON
3|2|PVEM_PT|ALFREDO PORRAS DOMINGUEZ|JESUS ANDRES ACOSTA MOYRON
3|2|PVEM_MORENA|ALFREDO PORRAS DOMINGUEZ|JESUS ANDRES ACOSTA MOYRON
3|2|PT_MORENA|ALFREDO PORRAS DOMINGUEZ|JESUS ANDRES ACOSTA MOYRON
4|1|PAN|ANA MARTHA ESCALANTE CASTILLO|PATRICIA IRENE CHABLE CEN
4|1|PRI|ANA MARTHA ESCALANTE CASTILLO|PATRICIA IRENE CHABLE CEN
4|1|PRD|ANA MARTHA ESCALANTE CASTILLO|PATRICIA IRENE CHABLE CEN
4|1|PVEM|ELSA JOAQUINA CASTILLO GOMEZ|BRENDA ALICIA RUIZ HERNANDEZ
4|1|PT|ANTONIO GOMEZ SAUCEDO|JOSE SANTOS FELICIANO CHAN CHI
4|1|MOVIMIENTO CIUDADANO|CLAUDIA DE MONTSERRAT VALLADARES GUZMAN|ROSLYN ODELING CUEVAS URIBE
4|1|MORENA|JOSE LUIS FLORES PACHECO|GRISEL OKAIRI CUTZ GOMEZ
4|1|PES|ANGELICA MARIA REYES DOMINGUEZ|ROSA ALVA REYES DOMINGUEZ
4|1|RSP|MARCOS ALBERTO PINZON CHARLES|MARCO ANTONIO GONZALEZ DELGADO
4|1|FS X MÉXICO|LORENA DEL JESUS NOVELO RODRIGUEZ|MARIA JUDITH DEL CARMEN RUIZ ESPARZA PINTO
4|1|PAN_PRI_PRD|ANA MARTHA ESCALANTE CASTILLO|PATRICIA IRENE CHABLE CEN
4|1|PAN_PRI|ANA MARTHA ESCALANTE CASTILLO|PATRICIA IRENE CHABLE CEN
4|1|PAN_PRD|ANA MARTHA ESCALANTE CASTILLO|PATRICIA IRENE CHABLE CEN
4|1|PRI_PRD|ANA MARTHA ESCALANTE CASTILLO|PATRICIA IRENE CHABLE CEN
4|2|PAN|SALVADOR FARIAS GONZALEZ|JOSE DEL CARMEN URUETA MOHA
4|2|PRI|SALVADOR FARIAS GONZALEZ|JOSE DEL CARMEN URUETA MOHA
4|2|PRD|SALVADOR FARIAS GONZALEZ|JOSE DEL CARMEN URUETA MOHA
4|2|PVEM|RUBISEL DEL ANGEL ESCOBEDO CASTILLO|MANUEL ANDRES HAU DZUL
4|2|PT|TEIDA GARCIA CORDOVA|YOLANDA RAMIREZ ADAN
4|2|MOVIMIENTO CIUDADANO|ANA CARMEN ONGAY REYES|TERESITA DE LA PARRA ISLA
4|2|MORENA|MARIA SIERRA DAMIAN|LAURA ERENDIRA PEREZ FLORES
4|2|PES|GUSTAVO DEL RIVERO LASTRA|ANGEL DAVID PEREZ MEDINA
4|2|RSP|ADAZA ELIZABETH RIVERA ALONZO|ANGELICA DEL CARMEN NOTARIO HERNANDEZ
4|2|FS X MÉXICO|ENRIQUE PASTOR CRUZ CARRANZA|GLADYS ROMERO EZAETA
4|2|PAN_PRI_PRD|SALVADOR FARIAS GONZALEZ|JOSE DEL CARMEN URUETA MOHA
4|2|PAN_PRI|SALVADOR FARIAS GONZALEZ|JOSE DEL CARMEN URUETA MOHA
4|2|PAN_PRD|SALVADOR FARIAS GONZALEZ|JOSE DEL CARMEN URUETA MOHA
4|2|PRI_PRD|SALVADOR FARIAS GONZALEZ|JOSE DEL CARMEN URUETA MOHA
5|1|PAN|GUILLERMO ARTURO SANCHEZ GARCIA|JORGE ANTONIO MALTOS VILLARREAL
5|1|PRI|MARCOS VILLAREAL SUDAY|RAUL ALEJANDRO VELA ERHARD
5|1|PRD|CARMEN VELA IBARRA|KARLA PATRICIA VELA SANCHEZ
5|1|PVEM|BRIGIDO RAMIRO MORENO HERNANDEZ|EVARISTO LENIN PEREZ TALAMAS
5|1|PT|BRIGIDO RAMIRO MORENO HERNANDEZ|EVARISTO LENIN PEREZ TALAMAS
5|1|MOVIMIENTO CIUDADANO|VANESSA ALEMAN IBARRA|GABRIELA LOPEZ DE LA CRUZ
5|1|MORENA|BRIGIDO RAMIRO MORENO HERNANDEZ|EVARISTO LENIN PEREZ TALAMAS
5|1|PES|MARCO ANTONIO MARTINEZ LARA|PABLO CARDENAS VAZQUEZ
5|1|RSP|BLANCA LUCIA ESTRADA MENDOZA|HEIDY ESCOBEDO VELAZQUEZ
5|1|FS X MÉXICO|DAMARIS ESTHER TAMEZ DOMINGUEZ|PAULETT MARCELA MORENO MALDONADO
5|1|PVEM_PT_MORENA|BRIGIDO RAMIRO MORENO HERNANDEZ|EVARISTO LENIN PEREZ TALAMAS
5|1|PVEM_PT|BRIGIDO RAMIRO MORENO HERNANDEZ|EVARISTO LENIN PEREZ TALAMAS
5|1|PVEM_MORENA|BRIGIDO RAMIRO MORENO HERNANDEZ|EVARISTO LENIN PEREZ TALAMAS
5|1|PT_MORENA|BRIGIDO RAMIRO MORENO HERNANDEZ|EVARISTO LENIN PEREZ TALAMAS
5|2|PAN|MARCELA CASTELLANOS RENTERIA|DELIA MARINA RUIZ PEREZ
5|2|PRI|GLADYS AYALA FLORES|BRENDA CECILIA GUERECA HERNANDEZ
5|2|PRD|ROSA MARIA ROCHA DOMINGUEZ|CECILIA TERCERO ADAME
5|2|PVEM|FRANCISCO JAVIER BORREGO ADAME|JORGE ARTURO VALDES FLORES
5|2|PT|FRANCISCO JAVIER BORREGO ADAME|JORGE ARTURO VALDES FLORES
5|2|MOVIMIENTO CIUDADANO|ROSA MARIA GUADALUPE RANGEL PADILLA|JAZMIN ADANARY TOVAR RUIZ
5|2|MORENA|FRANCISCO JAVIER BORREGO ADAME|JORGE ARTURO VALDES FLORES
5|2|PES|MIGUEL ANGEL SERRATO FERNANDEZ|JUAN JOSE DE LA CRUZ CABRERA
5|2|RSP|VIVIANA ISELA ANTUNA RODRIGUEZ|ZAIDA YANETH HERRERA ESPARZA
